Sl No.,Insurer,feb2022_pre,feb2023_pre,Growth_pre,uptoFeb2022_pre,uptofeb2023_pre,tgrowth_pre,marketshare_pre,feb2022_no_policy,feb2023_no_policy,Growth_no_policy,uptoFeb2022policy,uptofeb2023_no_policy,tgrowth_no_policy,marketshare_no_policy,feb2022_no_of_live,feb2023_no_of_live,Growth_no_of_live,uptoFeb2022_no_of_live,uptofeb2023_no_of_live,tgrowth_no_of_live,marketshare_no_of_live,feb2022_sum_assured,feb2023_sum_assured,Growth_sum_assured,uptoFeb2022_sum_assured,uptofeb2023_sum_assured,tgrowth_sum_assured,marketshare_sum_assured
1,Aditya Birla Sun Life,445.05,612.62,37.65,4655.22,6441.38,38.37,2.02,18368,19363,5.42,189869,202664,6.74,0.87,337686,442264,30.97,2118054,5044010,138.14,2.24,19776.97,41501.58,109.85,184042.09,318106.89,72.84,5.12
2,Aegas Federal Life,67.67,78.13,15.46,682.37,780.86,14.43,0.25,3649,3656,0.19,37286,40337,8.18,0.17,2855,6407,124.41,25245,32325,28.05,0.01,1228.89,1281.10,4.25,11018.59,14038.50,27.41,0.23
3,Aegon Life,0.43,1.55,264.69,16.44,6.55,-60.18,0.00,242,418,72.73,8731,2144,-75.44,0.01,5331,22765,327.03,60958,55141,-9.54,0.02,1813.07,284.93,-84.28,25071.17,1207.32,-95.18,0.02
4,Aviva Life,25.73,31.13,21.00,229.45,253.77,10.60,0.08,1943,2788,43.49,17438,23237,33.25,0.10,16179,140759,770.01,237009,522275,120.36,0.23,1209.29,2857.53,136.30,13690.67,21976.25,60.52,0.35
5,Bajaj Allianz Life,879.54,929.88,5.72,7463.64,9060.83,21.40,2.85,45462,55923,23.01,399437,520287,30.26,2.24,2489059,2370738,-4.75,25041393,24190243,-3.40,10.73,50571.60,39289.27,-22.31,423501.39,474870.10,12.13,7.65
6,Bharti Axa Life,79.11,94.75,19.77,773.95,834.14,7.78,0.26,11063,10571,-4.45,100921,89065,-11.75,0.38,68504,48591,-29.07,370608,399939,7.91,0.18,2305.56,2026.14,-12.12,28154.02,19742.32,-29.88,0.32
7,Canara HSBC Life,298.12,274.10,-8.06,2447.14,3220.94,31.62,1.01,18900,19142,1.28,148232,154187,4.02,0.66,41634,174784,319.81,3991260,5860567,46.84,2.60,4101.54,24107.58,487.77,134520.08,162313.23,20.66,2.61
8,Edelweiss Tokio Life,47.58,48.63,2.21,376.36,386.31,2.64,0.12,8399,8009,-4.64,53725,45153,-15.96,0.19,23362,18859,-19.27,305631,226211,-25.99,0.10,1083.19,887.74,-18.04,13734.72,8797.99,-35.94,0.14
9,Exide Life*,80.40,0.00,-100.00,842.14,435.65,-48.27,0.14,10924,0,-100.00,107226,61374,-42.76,0.26,11405,0,-100.00,1091871,144394,-86.78,0.06,3595.53,0.00,-100.00,60258.08,52819.22,-12.34,0.85
10,Future Generali Life,33.00,46.77,41.73,354.40,556.04,56.90,0.17,3527,3493,-0.96,31264,34250,9.55,0.15,4181,6429,53.77,78128,102145,30.74,0.05,1620.94,3198.34,97.31,22007.68,28345.49,28.80,0.46
11,HDFC Life,2076.48,2272.72,9.45,21136.73,23071.43,9.15,7.24,74777,91472,22.33,788458,823207,4.41,3.55,5226886,6270068,19.96,45313866,57257255,26.36,25.40,62518.50,117589.73,88.09,626408.62,879981.41,40.48,14.17
12,ICICI Prudential Life,1340.22,1330.44,-0.73,12844.77,14056.99,9.44,4.41,56897,51261,-9.91,564679,507036,-10.21,2.18,3278397,3715220,13.32,25811588,40826489,58.17,18.11,58418.46,97645.96,67.15,679051.66,931338.45,37.15,15.00
13,India First Life,211.62,216.94,2.52,2308.57,2388.97,3.48,0.75,26647,28886,8.40,228268,275810,20.83,1.19,468283,794116,69.58,5548760,7518580,35.50,3.33,13843.60,15353.90,10.91,222740.76,136648.24,-38.65,2.20
14,Kotak Mahindra Life,572.21,693.36,21.17,4770.17,6181.55,29.59,1.94,33899,32349,-4.57,264815,267379,0.97,1.15,2279551,2373234,4.11,18248190,21168872,16.01,9.39,23199.09,28666.24,23.57,190685.08,295754.77,55.10,4.76
15,Max Life,695.35,726.19,4.43,6510.75,6972.25,7.09,2.19,56507,52416,-7.24,515096,480871,-6.64,2.07,440794,476395,8.08,3321245,3533791,6.40,1.57,29340.98,30134.09,2.70,252004.72,250629.72,-0.55,4.04
16,PNB Met Life,249.57,278.88,11.75,2013.26,2691.97,33.71,0.85,23825,24326,2.10,218221,247488,13.41,1.07,247892,167200,-32.55,2196997,2441527,11.13,1.08,22526.82,20906.54,-7.19,251057.66,232327.23,-7.46,3.74
17,Pramerica Life,27.96,92.72,231.65,257.31,581.43,125.96,0.18,2872,2793,-2.75,24835,29722,19.68,0.13,39286,438092,1015.14,846845,1854194,118.95,0.82,3371.06,9684.50,187.28,45465.82,50949.78,12.06,0.82
18,Reliance Nippon Life,135.65,97.75,-27.94,1120.15,941.02,-15.99,0.30,13945,12857,-7.80,137456,133913,-2.58,0.58,4588,7955,73.39,187832,313910,67.12,0.14,910.99,1605.79,76.27,22682.20,22894.06,0.93,0.37
19,Sahara Life,0.00,0.00,NA,0.00,0.00,NA,0.00,0,0,NA,0,0,NA,0.00,0,0,NA,0,0,NA,0.00,0.00,0.00,NA,0.00,0.00,NA,0.00
20,SBI Life,1871.73,2001.68,6.94,22613.36,26084.12,15.35,8.19,163783,158068,-3.49,1658171,1907406,15.03,8.22,1047451,2938656,180.55,9612127,15354658,59.74,6.81,46371.62,84739.26,82.74,470539.56,559336.35,18.87,9.01
21,Shriram Life,72.42,93.56,29.20,773.10,942.23,21.88,0.30,21908,20906,-4.57,215451,243323,12.94,1.05,389741,469049,20.35,3767554,4365048,15.86,1.94,7600.85,8109.96,6.70,60485.00,60642.64,0.26,0.98
22,Star Union Dai-ichi Life ,269.58,255.44,-5.24,1707.65,2815.91,64.90,0.88,14708,20376,38.54,113960,172756,51.59,0.74,398159,383146,-3.77,5308989,6088986,14.69,2.70,10670.76,15113.98,41.64,138591.84,166712.82,20.29,2.68
23,Tata AIA Life,496.39,790.90,59.33,4316.46,6574.62,52.32,2.06,50332,50408,0.15,441350,544489,23.37,2.35,85575,186124,117.50,910964,1295093,42.17,0.57,32715.15,64126.55,96.01,338794.92,553679.71,63.43,8.92
